# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	8108	9067	+						4618437	AGOS_AAL186W	960		partial;old_locus_tag=AAL186W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	8108	9067	+	NM_207709.1		NP_982356.1	AAL186Wp		4618437	AGOS_AAL186W	960	960	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	8108	9067	+	NP_982356.1		NM_207709.1	AAL186Wp		4618437	AGOS_AAL186W	960	319	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	9537	12593	+						4618662	AGOS_AAL185W	3057		partial;old_locus_tag=AAL185W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	9537	12593	+	NM_207710.1		NP_982357.1	AAL185Wp		4618662	AGOS_AAL185W	3057	3057	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	9537	12593	+	NP_982357.1		NM_207710.1	AAL185Wp		4618662	AGOS_AAL185W	3057	1018	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	12906	13244	+						4618412	AGOS_AAL184W	339		partial;old_locus_tag=AAL184W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	12906	13244	+	NM_207711.1		NP_982358.1	AAL184Wp		4618412	AGOS_AAL184W	339	339	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	12906	13244	+	NP_982358.1		NM_207711.1	AAL184Wp		4618412	AGOS_AAL184W	339	112	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	13713	14846	+						4618594	AGOS_AAL183W	1134		partial;old_locus_tag=AAL183W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	13713	14846	+	NM_207712.1		NP_982359.1	AAL183Wp		4618594	AGOS_AAL183W	1134	1134	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	13713	14846	+	NP_982359.1		NM_207712.1	AAL183Wp		4618594	AGOS_AAL183W	1134	377	
gene	tRNA	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	15918	16028	+						4618626	AGOS_t0001	111		
tRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	15918	16028	+				tRNA-Leu		4618626	AGOS_t0001	82		
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	16155	19850	+						4618598	AGOS_AAL182W	3696		partial;old_locus_tag=AAL182W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	16155	19850	+	NM_207713.1		NP_982360.1	AAL182Wp		4618598	AGOS_AAL182W	3696	3696	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	16155	19850	+	NP_982360.1		NM_207713.1	AAL182Wp		4618598	AGOS_AAL182W	3696	1231	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	20056	23721	-						4618776	AGOS_AAL181C	3666		partial;old_locus_tag=AAL181C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	20056	23721	-	NM_207714.1		NP_982361.1	AAL181Cp		4618776	AGOS_AAL181C	3666	3666	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	20056	23721	-	NP_982361.1		NM_207714.1	AAL181Cp		4618776	AGOS_AAL181C	3666	1221	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	23977	24870	-						4618415	AGOS_AAL180C	894		partial;old_locus_tag=AAL180C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	23977	24870	-	NM_207715.1		NP_982362.1	AAL180Cp		4618415	AGOS_AAL180C	894	894	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	23977	24870	-	NP_982362.1		NM_207715.1	AAL180Cp		4618415	AGOS_AAL180C	894	297	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	25509	26591	+						4618551	AGOS_AAL179W	1083		partial;old_locus_tag=AAL179W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	25509	26591	+	NM_207716.1		NP_982363.1	AAL179Wp		4618551	AGOS_AAL179W	1083	1083	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	25509	26591	+	NP_982363.1		NM_207716.1	AAL179Wp		4618551	AGOS_AAL179W	1083	360	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	26881	27498	+						4618520	AGOS_AAL178W	618		partial;old_locus_tag=AAL178W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	26881	27498	+	NM_207717.1		NP_982364.1	AAL178Wp		4618520	AGOS_AAL178W	618	618	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	26881	27498	+	NP_982364.1		NM_207717.1	AAL178Wp		4618520	AGOS_AAL178W	618	205	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	27774	31370	+						4618666	AGOS_AAL177W	3597		partial;old_locus_tag=AAL177W
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	27774	31370	+	NM_207718.1		NP_982365.1	AAL177Wp		4618666	AGOS_AAL177W	3597	3597	partial
CDS	with_protein	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	27774	31370	+	NP_982365.1		NM_207718.1	AAL177Wp		4618666	AGOS_AAL177W	3597	1198	
gene	protein_coding	GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	31588	32205	-						4618519	AGOS_AAL176C	618		partial;old_locus_tag=AAL176C
mRNA		GCF_000091025.4	Primary Assembly	chromosome	I	NC_005782.2	31588	32205	-	NM_207719.1		NP_982366.1	AAL176Cp		4618519	AGOS_AAL176C	618	618	partial
